      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-02 00:13:53,   3470,      29.99,       55520,       0.01,      115.71,     1851.28,        1.00,    3470,       0
2017-09-02 00:15:33,   3452,      29.99,       55232,       0.01,      115.11,     1841.68,        1.00,    3452,       0
2017-09-02 00:17:13,   3457,      29.99,       55312,       0.01,      115.27,     1844.35,        1.00,    3457,       0
2017-09-02 00:18:53,   3410,      29.99,       54560,       0.01,      113.70,     1819.27,        1.00,    3410,       0
2017-09-02 00:20:33,   3400,      29.99,       54400,       0.01,      113.37,     1813.94,        1.00,    3400,       0
2017-09-02 00:22:13,   3544,      29.99,       56704,       0.01,      118.17,     1890.76,        1.00,    3544,       0
2017-09-02 00:23:53,   3452,      29.99,       55232,       0.01,      115.11,     1841.68,        1.00,    3452,       0
2017-09-02 00:25:33,   3408,      29.99,       54528,       0.01,      113.64,     1818.21,        1.00,    3408,       0
2017-09-02 00:27:13,   3435,      29.99,       54960,       0.01,      114.54,     1832.61,        1.00,    3435,       0
2017-09-02 00:28:53,   3511,      29.99,       56176,       0.01,      117.07,     1873.16,        1.00,    3511,       0
2017-09-02 00:30:33,   3511,      29.99,       56176,       0.01,      117.07,     1873.16,        1.00,    3511,       0
2017-09-02 00:32:13,   3466,      29.99,       55456,       0.01,      115.57,     1849.15,        1.00,    3466,       0
2017-09-02 00:33:53,   3496,      29.99,       55936,       0.01,      116.57,     1865.16,        1.00,    3496,       0
2017-09-02 00:35:33,   3497,      29.99,       55952,       0.01,      116.61,     1865.69,        1.00,    3497,       0
2017-09-02 00:37:13,   3426,      29.99,       54816,       0.01,      114.24,     1827.81,        1.00,    3426,       0
2017-09-02 00:38:53,   3436,      29.99,       54976,       0.01,      114.57,     1833.14,        1.00,    3436,       0
2017-09-02 00:40:33,   3454,      29.99,       55264,       0.01,      115.17,     1842.75,        1.00,    3454,       0
2017-09-02 00:42:13,   3445,      29.99,       55120,       0.01,      114.87,     1837.95,        1.00,    3445,       0
2017-09-02 00:43:53,   3466,      29.99,       55456,       0.01,      115.57,     1849.15,        1.00,    3466,       0
2017-09-02 00:45:33,   3485,      29.99,       55760,       0.01,      116.21,     1859.29,        1.00,    3485,       0
