      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-01 22:33:53,  85686,      29.99,       21421,       0.00,     2857.15,      714.27,        0.99,   85686,       0
2017-09-01 22:35:33,  85326,      29.99,       21331,       0.00,     2845.15,      711.27,        0.99,   85326,       0
2017-09-01 22:37:13,  86048,      29.99,       21512,       0.00,     2869.22,      717.31,        0.99,   86048,       0
2017-09-01 22:38:53,  88118,      29.99,       22029,       0.00,     2938.25,      734.54,        0.99,   88118,       0
2017-09-01 22:40:33,  85440,      29.99,       21360,       0.00,     2848.95,      712.24,        0.99,   85440,       0
2017-09-01 22:42:13,  85867,      29.99,       21466,       0.00,     2863.19,      715.77,        0.99,   85867,       0
2017-09-01 22:43:53,  87487,      29.99,       21871,       0.00,     2917.21,      729.28,        0.99,   87487,       0
2017-09-01 22:45:33,  85618,      29.99,       21404,       0.00,     2854.89,      713.70,        0.99,   85618,       0
2017-09-01 22:47:13,  87630,      29.99,       21907,       0.00,     2921.97,      730.48,        0.99,   87630,       0
2017-09-01 22:48:53,  86144,      29.99,       21536,       0.00,     2872.42,      718.11,        0.98,   86144,       0
2017-09-01 22:50:33,  88267,      29.99,       22066,       0.00,     2943.21,      735.78,        0.99,   88267,       0
2017-09-01 22:52:13,  85433,      29.99,       21358,       0.00,     2848.72,      712.17,        0.99,   85433,       0
2017-09-01 22:53:53,  85586,      29.99,       21396,       0.00,     2853.82,      713.44,        0.99,   85586,       0
2017-09-01 22:55:33,  85487,      29.99,       21371,       0.00,     2850.52,      712.60,        0.99,   85487,       0
2017-09-01 22:57:13,  86838,      29.99,       21709,       0.00,     2895.57,      723.87,        0.98,   86838,       0
2017-09-01 22:58:53,  85373,      29.99,       21343,       0.00,     2846.72,      711.67,        0.99,   85373,       0
2017-09-01 23:00:33,  87924,      29.99,       21981,       0.00,     2931.78,      732.94,        0.99,   87924,       0
2017-09-01 23:02:13,  84586,      29.99,       21146,       0.00,     2820.47,      705.10,        0.99,   84586,       0
2017-09-01 23:03:53,  84995,      29.99,       21248,       0.00,     2834.11,      708.50,        0.99,   84995,       0
2017-09-01 23:05:33,  87061,      29.99,       21765,       0.00,     2903.00,      725.74,        0.99,   87061,       0
