      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-03 04:18:08, 273287,      29.39,          16,       0.00,     9298.64,        0.54,        0.96,  273287,       0
2017-09-03 04:19:48, 275822,      29.99,          16,       0.00,     9197.13,        0.53,        0.96,  275822,       0
2017-09-03 04:21:28, 277297,      29.99,          16,       0.00,     9246.32,        0.53,        0.96,  277297,       0
2017-09-03 04:23:08, 274436,      29.99,          16,       0.00,     9150.92,        0.53,        0.96,  274436,       0
2017-09-03 04:24:48, 279260,      29.99,          17,       0.00,     9311.77,        0.57,        0.97,  279260,       0
2017-09-03 04:26:28, 282086,      29.99,          17,       0.00,     9406.00,        0.57,        0.96,  282086,       0
2017-09-03 04:28:08, 278758,      29.99,          17,       0.00,     9295.03,        0.57,        0.96,  278758,       0
2017-09-03 04:29:48, 280219,      29.99,          17,       0.00,     9343.75,        0.57,        0.96,  280219,       0
2017-09-03 04:31:28, 279102,      29.99,          17,       0.00,     9306.50,        0.57,        0.96,  279102,       0
2017-09-03 04:33:08, 279348,      29.99,          17,       0.00,     9314.71,        0.57,        0.96,  279348,       0
2017-09-03 04:34:48, 279895,      29.99,          17,       0.00,     9332.94,        0.57,        0.96,  279895,       0
2017-09-03 04:36:28, 277453,      29.99,          16,       0.00,     9251.52,        0.53,        0.96,  277454,       0
2017-09-03 04:38:08, 278793,      29.99,          17,       0.00,     9296.20,        0.57,        0.96,  278793,       0
2017-09-03 04:39:48, 279052,      29.99,          17,       0.00,     9304.83,        0.57,        0.96,  279052,       0
2017-09-03 04:41:28, 276309,      29.99,          16,       0.00,     9213.37,        0.53,        0.96,  276309,       0
2017-09-03 04:43:08, 277307,      29.99,          16,       0.00,     9246.65,        0.53,        0.96,  277307,       0
2017-09-03 04:44:48, 281430,      29.99,          17,       0.00,     9384.13,        0.57,        0.96,  281430,       0
2017-09-03 04:46:28, 280088,      29.99,          17,       0.00,     9339.38,        0.57,        0.96,  280088,       0
2017-09-03 04:48:08, 281458,      29.99,          17,       0.00,     9385.06,        0.57,        0.96,  281458,       0
2017-09-03 04:49:48, 279255,      29.99,          17,       0.00,     9311.60,        0.57,        0.96,  279255,       0
