      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-02 20:50:33,   3523,      29.99,       56368,       0.01,      117.47,     1879.56,        1.00,    3523,       0
2017-09-02 20:52:13,   4093,      29.99,       65488,       0.01,      136.48,     2183.66,        1.00,    4093,       0
2017-09-02 20:53:53,   4168,      29.99,       66688,       0.01,      138.98,     2223.67,        1.00,    4168,       0
2017-09-02 20:55:33,   4117,      29.99,       65872,       0.01,      137.28,     2196.47,        1.00,    4117,       0
2017-09-02 20:57:13,   4194,      29.99,       67104,       0.01,      139.85,     2237.55,        1.00,    4194,       0
2017-09-02 20:58:53,   4127,      29.99,       66032,       0.01,      137.61,     2201.80,        1.00,    4127,       0
2017-09-02 21:00:33,   4089,      29.99,       65424,       0.01,      136.35,     2181.53,        1.00,    4089,       0
2017-09-02 21:02:13,   4213,      29.99,       67408,       0.01,      140.48,     2247.68,        1.00,    4213,       0
2017-09-02 21:03:53,   4127,      29.99,       66032,       0.01,      137.61,     2201.80,        1.00,    4127,       0
2017-09-02 21:05:33,   4203,      29.99,       67248,       0.01,      140.15,     2242.35,        1.00,    4203,       0
2017-09-02 21:07:13,   4172,      29.99,       66752,       0.01,      139.11,     2225.81,        1.00,    4172,       0
2017-09-02 21:08:53,   4174,      29.99,       66784,       0.01,      139.18,     2226.88,        1.00,    4174,       0
2017-09-02 21:10:33,   4253,      29.99,       68048,       0.01,      141.81,     2269.02,        1.00,    4253,       0
2017-09-02 21:12:13,   4151,      29.99,       66416,       0.01,      138.41,     2214.60,        1.00,    4151,       0
2017-09-02 21:13:53,   4196,      29.99,       67136,       0.01,      139.91,     2238.61,        1.00,    4196,       0
2017-09-02 21:15:33,   4173,      29.99,       66768,       0.01,      139.15,     2226.34,        1.00,    4173,       0
2017-09-02 21:17:13,   4161,      29.99,       66576,       0.01,      138.75,     2219.94,        1.00,    4161,       0
2017-09-02 21:18:53,   4203,      29.99,       67248,       0.01,      140.15,     2242.35,        1.00,    4203,       0
2017-09-02 21:20:33,   4097,      29.99,       65552,       0.01,      136.61,     2185.80,        1.00,    4097,       0
2017-09-02 21:22:13,   4097,      29.99,       65552,       0.01,      136.61,     2185.80,        1.00,    4097,       0
