      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-02 18:37:13, 109340,      29.99,        6833,       0.00,     3645.88,      227.84,        0.99,  109340,       0
2017-09-02 18:38:53, 109991,      29.99,        6874,       0.00,     3667.59,      229.21,        0.99,  109991,       0
2017-09-02 18:40:33, 108992,      29.99,        6812,       0.00,     3634.28,      227.14,        0.99,  108992,       0
2017-09-02 18:42:13, 109166,      29.99,        6822,       0.00,     3640.08,      227.48,        0.99,  109166,       0
2017-09-02 18:43:53, 109901,      29.99,        6868,       0.00,     3664.59,      229.01,        0.98,  109901,       0
2017-09-02 18:45:33, 110319,      29.99,        6894,       0.00,     3678.53,      229.88,        0.99,  110319,       0
2017-09-02 18:47:13, 110146,      29.99,        6884,       0.00,     3672.76,      229.54,        0.99,  110146,       0
2017-09-02 18:48:53, 109783,      29.99,        6861,       0.00,     3660.65,      228.78,        0.99,  109783,       0
2017-09-02 18:50:33, 108462,      29.99,        6778,       0.00,     3616.61,      226.01,        0.99,  108462,       0
2017-09-02 18:52:13, 102167,      29.99,        6385,       0.00,     3406.70,      212.90,        0.99,  102167,       0
2017-09-02 18:53:53,  89677,      29.99,        5604,       0.00,     2990.23,      186.86,        0.99,   89677,       0
2017-09-02 18:55:33,  89037,      29.99,        5564,       0.00,     2968.89,      185.53,        0.99,   89037,       0
2017-09-02 18:57:13,  88200,      29.99,        5512,       0.00,     2940.98,      183.79,        0.99,   88200,       0
2017-09-02 18:58:53,  88803,      29.99,        5550,       0.00,     2961.09,      185.06,        0.99,   88803,       0
2017-09-02 19:00:33,  90065,      29.99,        5629,       0.00,     3003.17,      187.70,        0.99,   90065,       0
2017-09-02 19:02:13,  89297,      29.99,        5581,       0.00,     2977.56,      186.10,        0.99,   89297,       0
2017-09-02 19:03:53,  91207,      29.99,        5700,       0.00,     3041.25,      190.06,        0.99,   91207,       0
2017-09-02 19:05:33,  89930,      29.99,        5620,       0.00,     2998.67,      187.40,        0.99,   89930,       0
2017-09-02 19:07:13,  89631,      29.99,        5601,       0.00,     2988.70,      186.76,        0.99,   89631,       0
2017-09-02 19:08:53,  89474,      29.99,        5592,       0.00,     2983.46,      186.46,        0.99,   89474,       0
