      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-02 22:30:33, 732482,      29.98,         178,       0.00,    24432.36,        5.94,       49.84,  732482,       0
2017-09-02 22:32:13, 741165,      29.98,         180,       0.00,    24721.98,        6.00,       49.83,  741165,       0
2017-09-02 22:33:53, 734901,      29.98,         179,       0.00,    24513.04,        5.97,       49.83,  734901,       0
2017-09-02 22:35:33, 729450,      29.98,         178,       0.00,    24331.22,        5.94,       49.84,  729450,       0
2017-09-02 22:37:13, 756954,      29.98,         184,       0.00,    25248.63,        6.14,       49.84,  756954,       0
2017-09-02 22:38:53, 735141,      29.98,         179,       0.00,    24521.05,        5.97,       49.84,  735141,       0
2017-09-02 22:40:33, 752659,      29.98,         183,       0.00,    25105.37,        6.10,       49.84,  752659,       0
2017-09-02 22:42:13, 747284,      29.98,         182,       0.00,    24926.08,        6.07,       49.84,  747284,       0
2017-09-02 22:43:53, 718899,      29.98,         175,       0.00,    23979.29,        5.84,       49.85,  718899,       0
2017-09-02 22:45:33, 727036,      29.98,         177,       0.00,    24250.70,        5.90,       49.82,  727036,       0
2017-09-02 22:47:13, 745671,      29.98,         182,       0.00,    24872.28,        6.07,       49.84,  745671,       0
2017-09-02 22:48:53, 705270,      29.98,         172,       0.00,    23524.68,        5.74,       49.83,  705270,       0
2017-09-02 22:50:33, 710296,      29.98,         173,       0.00,    23692.33,        5.77,       49.84,  710296,       0
2017-09-02 22:52:13, 740004,      29.98,         180,       0.00,    24683.26,        6.00,       49.83,  740004,       0
2017-09-02 22:53:53, 738203,      29.98,         180,       0.00,    24623.18,        6.00,       49.85,  738203,       0
2017-09-02 22:55:33, 726055,      29.98,         177,       0.00,    24217.98,        5.90,       49.84,  726055,       0
2017-09-02 22:57:13, 729733,      29.98,         178,       0.00,    24340.66,        5.94,       49.83,  729733,       0
2017-09-02 22:58:53, 737806,      29.98,         180,       0.00,    24609.94,        6.00,       49.84,  737806,       0
2017-09-02 23:00:33, 746754,      29.98,         182,       0.00,    24908.41,        6.07,       49.83,  746754,       0
2017-09-02 23:02:13, 726552,      29.98,         177,       0.00,    24234.56,        5.90,       49.84,  726552,       0
