64	29.00	30.00	42.09	26.00	126087.00
128	29.00	29.00	29.29	26.00	377.00
256	29.00	30.00	29.51	27.00	557.00
512	29.00	30.00	29.46	27.00	318.00
1K	30.00	31.00	30.36	28.00	639.00
2K	37.00	54.00	52.49	32.00	125759.00
4K	37.00	55.00	40.99	34.00	415.00
8K	41.00	65.00	46.50	37.00	483.00
16K	65.00	83.00	67.33	48.00	452.00
32K	59.00	90.00	67.08	56.00	558.00
64K	90.00	94.00	91.89	82.00	549.00
128K	138.00	160.00	140.93	122.00	705.00
256K	211.00	351.00	231.56	177.00	923.00
512K	517.00	617.00	528.59	319.00	126328.00
1M	721.00	823.00	738.59	526.00	127805.00
2M	1344.00	1553.00	1343.05	998.00	12366.00
4M	2598.00	2914.00	2607.22	2112.00	8506.00
8M	5229.00	5854.00	5257.81	4404.00	10513.00
16M	11171.00	12468.00	11207.96	9295.00	23248.00
32M	22084.00	24643.00	22199.14	18343.00	32608.00
64M	44335.00	50343.00	44318.59	36706.00	65916.00
