#Size	AvgBps	MidBps	AvgMps	MidMps
64	2851388260.38	2882777767.22	5569117.70	5630425.33
128	3237334530.16	3275051104.19	3161459.50	3198292.09
256	6275261801.65	6323111405.75	3064092.68	3087456.74
512	11027242382.01	11140950107.94	2692197.85	2719958.52
1K	16475668493.74	16608005951.67	2059458.56	2076000.74
2K	21015545010.36	21369837919.24	1313471.55	1335614.87
4K	21655465559.81	22146055820.87	676733.30	692064.24
8K	23274125730.65	24062836292.66	363658.21	375981.82
16K	25914119201.88	25520823792.22	202454.06	199381.44
32K	30626983600.85	29546150961.70	119636.65	115414.65
64K	35979966649.30	36619297938.61	70273.37	71522.07
128K	33365088231.86	33451115835.28	32583.08	32667.10
256K	33639709280.29	34151900455.56	16425.64	16675.73
512K	33634318110.42	33847448542.88	8211.50	8263.54
1M	29644698774.84	29518317455.90	3705.57	3689.79
2M	29363465607.15	29614341596.87	1835.22	1850.90
4M	25694291415.83	26398521682.79	802.95	824.95
8M	26199597751.75	26365917092.55	409.37	411.97
16M	25500924937.66	25854526292.00	199.23	201.99
32M	25136004678.09	25342403428.58	98.19	98.99
64M	24777706140.59	24574574674.67	48.39	48.00
