#Size	AvgBps	MidBps	AvgMps	MidMps
64	2959997014.36	2978478807.44	5781244.19	5817341.42
128	3503009838.15	3519557592.33	3420908.05	3437067.96
256	6667024677.79	6654624842.26	3255383.14	3249328.54
512	10194649218.17	9572251241.66	2488928.03	2336975.40
1K	12574310465.87	13227767600.73	1571788.81	1653470.95
2K	15713440405.16	15974865382.40	982090.03	998429.09
4K	16469261253.46	16664668820.50	514664.41	520770.90
8K	16627633803.54	17343996544.26	259806.78	270999.95
16K	21569121847.64	21994928284.02	168508.76	171835.38
32K	26491914209.42	27088806671.60	103484.04	105815.65
64K	18143940085.35	18186448389.27	35437.38	35520.41
128K	23186728751.98	22618870724.37	22643.29	22088.74
256K	22021091824.04	21496652187.48	10752.49	10496.41
1M	29670601868.05	29331336317.53	3708.83	3666.42
4M	26944964302.97	27550126591.39	842.03	860.94
16M	24935371253.70	25214159366.37	194.81	196.99
64M	24232933097.47	24574255227.88	47.33	48.00
