64	33.00	34.00	45.75	30.00	125851.00
128	32.00	33.00	32.48	29.00	527.00
256	32.00	33.00	32.87	30.00	502.00
512	33.00	33.00	32.92	30.00	461.00
1K	34.00	34.00	33.91	31.00	505.00
2K	39.00	43.00	52.49	34.00	125914.00
4K	40.00	42.00	40.68	36.00	428.00
8K	42.00	47.00	43.91	40.00	468.00
16K	70.00	96.00	73.82	53.00	448.00
32K	74.00	82.00	74.81	64.00	458.00
64K	104.00	110.00	106.09	95.00	602.00
128K	185.00	213.00	191.97	147.00	645.00
256K	300.00	391.00	311.36	203.00	1000.00
1M	720.00	852.00	746.63	619.00	127214.00
2M	1624.00	1780.00	1664.37	1112.00	202677.00
4M	3324.00	3523.00	3376.15	2397.00	207167.00
8M	6174.00	6973.00	6302.38	4738.00	211935.00
16M	12218.00	13548.00	12314.52	9258.00	17600.00
32M	24331.00	26561.00	24574.81	19202.00	242864.00
64M	47715.00	51859.00	48185.51	38221.00	255880.00
